dish_name,calories_per_100g,protein_per_100g,fat_per_100g,carbs_per_100g,calorie_label
Fried Chicken,400,30.0,25.0,15.0,🔴 高卡
Pho,450,25.0,15.0,60.0,🔴 高卡
Pan-fried Dumplings,400,20.0,15.0,50.0,🔴 高卡
Noodle Stir-Fry,600,25.0,20.0,80.0,🔴 高卡
Shrimp and Noodle Appetizer,300,20.0,10.0,30.0,🔴 高卡
Mixed Asian Dish,800,40.0,30.0,90.0,🔴 高卡
Dried Noodles,200,7.0,1.0,42.0,🟡 中卡
Noodle Soup,450,25.0,15.0,60.0,🔴 高卡
Oranges,62,1.2,0.2,15.4,🟢 低卡
Stuffed Pumpkin,300,5.0,10.0,50.0,🔴 高卡
Scrambled Eggs with Bread,450,25.0,20.0,50.0,🔴 高卡
Steamed Baby Corn with Sauce,150,10.0,5.0,20.0,🟡 中卡
Spicy Crab,500,40.0,20.0,10.0,🔴 高卡
Sandwiches,800,40.0,30.0,90.0,🔴 高卡
Breakfast Plate,350,15.0,10.0,50.0,🔴 高卡
Roasted Chicken,600,50.0,30.0,5.0,🔴 高卡
Noodle Bowl with Meat and Vegetables,600,30.0,20.0,70.0,🔴 高卡
Fried Chicken with Salad and Soup,800,50.0,45.0,30.0,🔴 高卡
Meatball in sauce,350,25.0,20.0,10.0,🔴 高卡
Breakfast Sandwich,350,20.0,15.0,30.0,🔴 高卡
Spicy Chicken Stir-Fry,450,30.0,20.0,15.0,🔴 高卡
Glazed Fruit,300,5.0,10.0,50.0,🔴 高卡
Steamed Snails,200,30.0,5.0,10.0,🟡 中卡
Dairy Drink,120,6.0,4.0,15.0,🟡 中卡
Fruit Dessert,250,2.0,5.0,50.0,🔴 高卡
Vegetable Noodles,400,12.0,10.0,60.0,🔴 高卡
Stir-fried Meat Dish,450,30.0,20.0,40.0,🔴 高卡
Chicken Stir-Fry,450,30.0,20.0,25.0,🔴 高卡
French Toast with Ice Cream,600,10.0,30.0,70.0,🔴 高卡
Fruit-flavored drink,150,3.0,2.0,30.0,🟡 中卡
Apple,95,0.5,0.3,25.0,🟢 低卡
Tacos,350,20.0,15.0,40.0,🔴 高卡
Shrimp Egg Cups,350,25.0,20.0,30.0,🔴 高卡
Spaghetti with Beef Sauce,600,25.0,20.0,80.0,🔴 高卡
Chicken Stir Fry with Bun,600,35.0,20.0,70.0,🔴 高卡
Spaghetti with Tomato Sauce,400,12.0,10.0,60.0,🔴 高卡
Mixed Rice with Meat and Vegetables,600,30.0,20.0,70.0,🔴 高卡
Noodle Bowl,600,20.0,15.0,85.0,🔴 高卡
Braised Pork,600,25.0,30.0,50.0,🔴 高卡
Fried Fish Noodle Soup,600,30.0,20.0,70.0,🔴 高卡
Noodles in broth,350,12.0,10.0,55.0,🔴 高卡
Savory Snack Bar,250,5.0,10.0,35.0,🔴 高卡
Mixed Meat Platter,600,40.0,30.0,20.0,🔴 高卡
Vegetable Fritters,300,8.0,15.0,35.0,🔴 高卡
Cooked Meat,250,20.0,15.0,0.0,🔴 高卡
Spicy Mango Slices,150,1.0,0.5,37.0,🟡 中卡
Sandwich,350,20.0,15.0,40.0,🔴 高卡
Mixed Asian Salad,600,25.0,20.0,80.0,🔴 高卡
Steamed Dumplings,300,12.0,10.0,40.0,🔴 高卡
Snack Mix,500,10.0,25.0,60.0,🔴 高卡
Mixed Rice Bowl,600,30.0,20.0,70.0,🔴 高卡
Green Beans,35,2.0,0.2,7.0,🟢 低卡
Spicy Noodles,600,15.0,20.0,80.0,🔴 高卡
Steak with Noodles and Vegetables,700,45.0,35.0,60.0,🔴 高卡
Mapo Tofu,300,15.0,20.0,10.0,🔴 高卡
Grilled Salmon,350,30.0,20.0,5.0,🔴 高卡
Roast Meat Rice,700,40.0,30.0,70.0,🔴 高卡
Mixed Asian Dishes,800,50.0,30.0,70.0,🔴 高卡
Vegetable Fried Rice,600,20.0,15.0,85.0,🔴 高卡
Crawfish,250,20.0,5.0,10.0,🔴 高卡
Grilled Salmon with Vegetables,500,40.0,30.0,10.0,🔴 高卡
Pizza,285,12.0,10.5,36.0,🔴 高卡
Steamed Fish with Spicy Toppings,350,30.0,15.0,10.0,🔴 高卡
Stir-fried Noodles,600,20.0,15.0,90.0,🔴 高卡
Mixed Seafood,250,30.0,10.0,0.0,🔴 高卡
Braised Pork Belly,600,25.0,30.0,50.0,🔴 高卡
Dumpling,250,12.0,10.0,30.0,🔴 高卡
Starchy dish with salad,600,10.0,15.0,100.0,🔴 高卡
Milk Soup,150,6.0,5.0,20.0,🟡 中卡
Creamy Soup,150,5.0,8.0,15.0,🟡 中卡
Cheeseburger,500,30.0,25.0,40.0,🔴 高卡
Spice Mix,50,2.0,1.0,10.0,🟢 低卡
Fried Potato Snacks,300,5.0,15.0,40.0,🔴 高卡
Fried Eggs with Toast,200,12.0,14.0,20.0,🟡 中卡
Spicy Cold Noodles,250,5.0,10.0,30.0,🔴 高卡
Omelette Rice,600,30.0,20.0,70.0,🔴 高卡
Braised Meat,350,30.0,25.0,10.0,🔴 高卡
Boiled Eggs,320,28.0,22.0,2.0,🔴 高卡
Biryani,600,25.0,20.0,80.0,🔴 高卡
Vegetable Soup,150,5.0,3.0,25.0,🟡 中卡
Steamed White Rice,200,4.2,0.4,44.5,🟡 中卡
Stir-fried Shrimp with Vegetables,250,20.0,10.0,15.0,🔴 高卡
Vegetable Stir-fry with Fish,250,15.0,10.0,30.0,🔴 高卡
Stir-fried meat with vegetables,400,25.0,15.0,30.0,🔴 高卡
Beef Noodles,600,25.0,20.0,80.0,🔴 高卡
Stir-fried Green Beans with Meat,350,25.0,15.0,45.0,🔴 高卡
Tomatoes,150,6.0,0.5,30.0,🟡 中卡
Braised Chicken Drumsticks,600,50.0,40.0,5.0,🔴 高卡
Cherimoya,150,2.0,0.5,37.0,🟡 中卡
Sushi and Salad,600,30.0,20.0,70.0,🔴 高卡
Spicy Ribs,250,20.0,15.0,5.0,🔴 高卡
Skewered Meat and Hot Pot,600,40.0,30.0,50.0,🔴 高卡
Stir-fried Pork with Peppers,400,30.0,15.0,25.0,🔴 高卡
Spicy Crawfish,400,30.0,20.0,10.0,🔴 高卡
Noodle Stir Fry,600,25.0,15.0,80.0,🔴 高卡
Grilled Meat Skewers,250,20.0,15.0,5.0,🔴 高卡
Sandwich with Milk,450,25.0,20.0,45.0,🔴 高卡
Fried Dumplings,300,6.0,15.0,35.0,🔴 高卡
Spicy Beef Jerky,250,10.0,15.0,20.0,🔴 高卡
Roasted Duck,350,30.0,20.0,0.0,🔴 高卡
Stir-fried meat and vegetables,800,50.0,30.0,70.0,🔴 高卡
Peaches,68,1.0,0.4,17.0,🟢 低卡
Ramen,600,30.0,20.0,70.0,🔴 高卡
Stir-fried Meat and Vegetables,600,40.0,25.0,50.0,🔴 高卡
Braised Pork with Vegetables,600,25.0,30.0,50.0,🔴 高卡
Lentil Stew,350,15.0,10.0,50.0,🔴 高卡
Noodle Soup with Egg,350,20.0,15.0,40.0,🔴 高卡
Hawaiian Pizza,300,15.0,12.0,36.0,🔴 高卡
Spicy Chicken Wings,250,20.0,15.0,0.0,🔴 高卡
Stir-fried meat with vegetables and rice,800,50.0,30.0,90.0,🔴 高卡
Steamed Meat Slices,350,25.0,20.0,10.0,🔴 高卡
Pastry,300,5.0,15.0,40.0,🔴 高卡
Granola with Bread and Whipped Cream,350,8.0,10.0,55.0,🔴 高卡
Sushi,350,20.0,10.0,45.0,🔴 高卡
Chicken Noodle Soup,350,25.0,10.0,40.0,🔴 高卡
Grilled Chicken Wings,300,25.0,20.0,0.0,🔴 高卡
Garlic Butter Lobster,600,40.0,20.0,30.0,🔴 高卡
Vegetable Stir-Fry,250,5.0,10.0,35.0,🔴 高卡
Fruit Tart,250,3.0,10.0,35.0,🔴 高卡
Mixed lunch box,600,25.0,20.0,80.0,🔴 高卡
Ribeye Steak,600,50.0,45.0,0.0,🔴 高卡
Shrimp,200,40.0,2.5,0.0,🟡 中卡
Flatbread,300,8.0,10.0,45.0,🔴 高卡
Seafood platter,200,30.0,5.0,0.0,🟡 中卡
Waffle,200,4.0,8.0,30.0,🟡 中卡
Eggs,210,18.0,15.0,1.0,🟡 中卡
Samosas,300,6.0,15.0,35.0,🔴 高卡
Grilled Steak with Vegetables,600,50.0,40.0,15.0,🔴 高卡
Beef Stir-Fried Noodles,600,25.0,15.0,80.0,🔴 高卡
Dumpling Soup,300,15.0,10.0,40.0,🔴 高卡
Garlic Butter Snails,250,20.0,10.0,5.0,🔴 高卡
Stir-fried Green Vegetables,150,5.0,7.0,20.0,🟡 中卡
Cherries,50,1.0,0.2,12.0,🟢 低卡
Super Muesli,350,25.0,10.0,60.0,🔴 高卡
Dumplings,300,15.0,10.0,40.0,🔴 高卡
Sushi Platter,600,25.0,20.0,80.0,🔴 高卡
Chicken Biryani,600,30.0,20.0,70.0,🔴 高卡
Watermelon,30,0.6,0.2,7.6,🟢 低卡
Spicy Chicken,600,40.0,30.0,20.0,🔴 高卡
Tofu Vegetable Soup,250,15.0,10.0,30.0,🔴 高卡
Jackfruit,150,2.4,0.6,35.2,🟡 中卡
Plum,60,0.5,0.2,15.0,🟢 低卡
